split,video_name,frame_count,infer_frame_count,missing_count,extra_count,infer_dir_exists,none_file_exists,none_count,none_out_of_range_count,none_not_missing_count,missing_not_in_none_count,missing_examples,extra_examples,none_examples,none_out_of_range_examples,none_not_missing_examples,missing_not_in_none_examples
train,0003_01_0001.mp4,84,84,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0002.mp4,88,88,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0003.mp4,91,91,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0009.mp4,57,57,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0011.mp4,51,51,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0012.mp4,43,43,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0017.mp4,49,49,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0018.mp4,74,74,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0020.mp4,55,55,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0023.mp4,58,58,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0024.mp4,47,47,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0026.mp4,43,43,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0035.mp4,44,44,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0037.mp4,49,49,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0038.mp4,48,48,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0041.mp4,52,52,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0042.mp4,39,39,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0043.mp4,54,54,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0046.mp4,42,42,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0047.mp4,43,43,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0048.mp4,50,50,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0050.mp4,62,62,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0051.mp4,49,49,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0052.mp4,54,54,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0056.mp4,42,42,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0062.mp4,46,46,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0063.mp4,58,58,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0064.mp4,45,45,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0065.mp4,51,51,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0068.mp4,69,69,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0069.mp4,74,74,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0070.mp4,65,65,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0071.mp4,66,66,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0072.mp4,56,56,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0074.mp4,88,88,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0078.mp4,78,78,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0079.mp4,73,73,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0080.mp4,88,88,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0081.mp4,69,69,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0084.mp4,75,75,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0085.mp4,74,74,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0086.mp4,60,60,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0090.mp4,74,74,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0092.mp4,54,54,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0098.mp4,61,61,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0099.mp4,67,67,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0101.mp4,62,62,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0102.mp4,56,56,0,0,1,0,0,0,0,0,,,,,,
train,0003_01_0103.mp4,55,55,0,0,1,0,0,0,0,0,,,,,,
train,0003_02_0003.mp4,55,55,0,0,1,0,0,0,0,0,,,,,,
train,0003_02_0004.mp4,56,56,0,0,1,0,0,0,0,0,,,,,,
train,0003_02_0008.mp4,49,49,0,0,1,0,0,0,0,0,,,,,,
train,0003_02_0010.mp4,92,92,0,0,1,0,0,0,0,0,,,,,,
train,0003_02_0011.mp4,59,59,0,0,1,0,0,0,0,0,,,,,,
train,0003_02_0013.mp4,58,58,0,0,1,0,0,0,0,0,,,,,,
train,0003_02_0016.mp4,40,40,0,0,1,0,0,0,0,0,,,,,,
train,0003_02_0017.mp4,36,36,0,0,1,0,0,0,0,0,,,,,,
train,0003_02_0020.mp4,61,61,0,0,1,0,0,0,0,0,,,,,,
